Ortiz     Alan                        87        M         Y
Williams  Bruce                       12        M         N
Hart      Joseph                      16        M         N
Jones     Cynthia                     26        F         Y
Williams  William                     74        M         N
Johnson   Bradley                     64        M         Y
Moss      Theresa                     50        F         N
Padilla   John                        46        M         N
Curtis    Austin                      27        M         Y
Boyd      David                       14        M         N
Tracy     Dickenise                   48        F         Y
Jaclyn    Jacki                       76        N         Y
Smith     Emily                       38        F         N
Cardenas  William                     58        M         Y
Levy      Michael                     27        M         N
Henson    Elizabeth                   83        F         Y
Bradford  Lacey                       29        F         Y
Weaver    Sheryl                      49        F         Y
Torres    Christina                   46        F         N
Morgan    Timothy                     10        M         N
Hall      Tina                        51        F         Y
Arnold    Jeffrey                     70        M         N
Dean      Mary                        56        F         N
Davis     Desiree                     38        F         Y
Perez     Cameron                     49        F         N
Nelson    Darrell                     28        M         N
Robinson  Natalie                     45        F         Y
Campbell  Ethan                       60        M         N
Reid      Anthony                     44        M         Y
Smith     Elizabeth                   77        F         N
Hall      Judy                        13        F         N
Stewart   Amy                         60        F         Y
Turner    Jessica                     60        F         N
Gutierrez Michelle                    70        F         Y
Stanton   Sophia                      13        F         Y
Valdez    Holly                       72        F         N
Carter    Colin                       37        M         Y
Turner    Thomas                      16        M         N
Graham    Caroline                    31        F         Y
Todd      Victoria                    73        F         Y
Zuniga    Richard                     33        M         Y
Kaiser    Travis                      40        M         N
Parker    Andrew                      41        M         N
Davis     Amy                         29        F         Y
Bowen     Mark                        52        M         N
Miller    Louis                       58        M         N
Smith     Brian                       28        M         Y
Johnson   Veronica                    27        F         N
Roberts   Brian                       70        M         N
Washington Danielle                    18        F         Y
Odom      Miranda                     78        F         N
Payne     Darryl                      71        M         Y
Colon     James                       45        M         N
Vincent   Richard                     55        M         N
Burns     Brian                       65        M         Y
Keith     Susan                       44        F         N
Donovan   Maxwell                     33        M         Y
Sosa      Wayne                       42        M         Y
Weaver    Kelli                       80        F         N
Little    Wayne                       18        M         Y
Parsons   Daniel                      60        M         N
